UV1 (215 nm)_time,UV1 (215 nm)_mAU,UV2 (255 nm)_time,UV2 (255 nm)_mAU,UV3 (280 nm)_time,UV3 (280 nm)_mAU,UV4 (495 nm)_time,UV4 (495 nm)_mAU,Conductivity_time,Conductivity_mS/cm,%B_time,%B_%,pH theoretical_time,pH theoretical,pH_time,pH,System Pressure_time,System Pressure_MPa,PreCol Pressure_time,PreCol Pressure_MPa,delta Col Pressure_time,delta Col Pressure_MPa,Temperature_time,Temperature_C,Flow Rate_time,Flow Rate_ml/min
0.106922976175944,0.893999997060746,0.106922976175944,-0.22000000171829,0.106922976175944,-0.128999992739409,0.106922976175944,-0.0700000018696301,0.106922976175944,1.86696064472198,0.125874137878418,0,0.125874137878418,7.75,0.106922976175944,7.89355516433716,0.123190625508626,0.910108199454349,0.123190625508626,0.827371090413044,0.123190625508626,0.56537024511558,0.106922976175944,27.1386871337891,0.109456443786621,2
0.111723136901856,1.3150000013411,0.111723136901856,-0.0560000007681083,0.111723136901856,0.00600000021222513,0.111723136901856,0.022000000171829,0.111723136901856,1.86686551570892,0.164942995707194,0,0.164942995707194,7.75,0.111723136901856,7.89502000808716,0.1431915918986,0.882529163107247,0.1431915918986,0.827371090413044,0.1431915918986,0.56537024511558,0.111723136901856,27.1386871337891,0.127590751647949,2
0.113990084330241,1.37600000016391,0.113990084330241,-0.0920000020414591,0.113990084330241,-0.0480000016978011,0.113990084330241,-0.0680000011925586,0.113990084330241,1.86686551570892,0.205328687032064,0,0.205328687032064,7.75,0.113990084330241,7.89502000808716,0.162392743428549,1.15831952657826,0.162392743428549,1.08937193571051,0.162392743428549,0.792897294979168,0.113990084330241,27.1386871337891,0.145725059509277,2
0.116923586527506,1.37600000016391,0.116923586527506,-0.0920000020414591,0.116923586527506,-0.0480000016978011,0.116923586527506,-0.0680000011925586,0.116923586527506,1.86686551570892,0.244264030456543,0,0.244264030456543,7.75,0.116923586527506,7.89502000808716,0.18319403330485,1.22037235835924,0.18319403330485,1.15142476749149,0.18319403330485,0.854950126760146,0.116923586527506,27.1386871337891,0.166659609476725,2
0.120707003275554,1.28900003619492,0.120707003275554,-0.234000006457791,0.120707003275554,-0.190999999176711,0.120707003275554,-0.201999995624647,0.120707003275554,1.86686551570892,0.28399969736735,0,0.28399969736735,7.75,0.120707003275554,7.89502000808716,0.202395184834798,1.23416187653279,0.202395184834798,1.16521428566504,0.202395184834798,0.868739644933696,0.120707003275554,27.1386871337891,0.185860761006674,2
0.128657595316569,1.2410000199452,0.128657595316569,-0.307999987853691,0.128657595316569,-0.257000006968156,0.128657595316569,-0.296000012895092,0.128657595316569,1.86677026748657,0.322668520609538,0,0.322668520609538,7.75,0.128657595316569,7.89502000808716,0.222529665629069,1.24105663561957,0.222529665629069,1.17210904475181,0.222529665629069,0.868739644933696,0.128657595316569,27.1386871337891,0.207062085469564,2
0.131191062927246,1.21999997645617,0.131191062927246,-0.28000000747852,0.131191062927246,-0.236000007134862,0.131191062927246,-0.303999986499548,0.131191062927246,1.86677026748657,0.360937563578288,0,0.360937563578288,7.75,0.131191062927246,7.89502000808716,0.241730562845865,1.24105663561957,0.241730562845865,1.17210904475181,0.241730562845865,0.868739644933696,0.131191062927246,27.1386871337891,0.225063133239746,2
0.133724530537923,1.21999997645617,0.133724530537923,-0.28000000747852,0.133724530537923,-0.236000007134862,0.133724530537923,-0.303999986499548,0.133724530537923,1.86677026748657,0.400940004984538,0,0.400940004984538,7.75,0.133724530537923,7.89502000808716,0.261598523457845,1.24105663561957,0.261598523457845,1.17210904475181,0.261598523457845,0.868739644933696,0.133724530537923,27.1386871337891,0.245864168802897,2
0.136974652608235,1.23900000471622,0.136974652608235,-0.186999997822568,0.136974652608235,-0.165999997989275,0.136974652608235,-0.261999986832961,0.136974652608235,1.86677026748657,0.440392112731933,0,0.440392112731933,7.75,0.136974652608235,7.89502000808716,0.281199709574381,1.24795139470634,0.281199709574381,1.17900380383859,0.281199709574381,0.875634404020472,0.136974652608235,27.1386871337891,0.264265251159668,2
0.140841484069824,1.23900000471622,0.140841484069824,-0.186999997822568,0.140841484069824,-0.165999997989275,0.140841484069824,-0.261999986832961,0.140841484069824,1.86677026748657,0.479727745056152,0,0.479727745056152,7.75,0.140841484069824,7.89502000808716,0.300800641377767,1.24795139470634,0.300800641377767,1.17900380383859,0.300800641377767,0.875634404020472,0.140841484069824,27.1386871337891,0.28573309580485,2
0.146925163269043,1.37199996970594,0.146925163269043,0.052999999752501,0.146925163269043,0.0509999990754295,0.146925163269043,-0.151999993249774,0.146925163269043,1.86662745475769,0.518529828389486,0,0.518529828389486,7.75,0.146925163269043,7.89502000808716,0.320001792907715,1.24105663561957,0.320001792907715,1.17210904475181,0.320001792907715,0.868739644933696,0.146925163269043,27.1386871337891,0.30346762339274,2
0.14945863087972,1.37199996970594,0.14945863087972,0.052999999752501,0.14945863087972,0.0509999990754295,0.14945863087972,-0.151999993249774,0.14945863087972,1.86662745475769,0.556932131449382,0,0.556932131449382,7.75,0.14945863087972,7.89502000808716,0.339469464619954,1.24795139470634,0.339469464619954,1.17900380383859,0.339469464619954,0.875634404020472,0.14945863087972,27.1386871337891,0.324135398864746,2
